,brand_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,brand,topic-1_brand_negative,topic0_brand_negative,topic1_brand_negative,topic2_brand_negative,topic3_brand_negative,topic4_brand_negative,topic5_brand_negative,topic6_brand_negative,topic7_brand_negative,topic8_brand_negative,topic-1_brand_neutral,topic0_brand_neutral,topic1_brand_neutral,topic2_brand_neutral,topic3_brand_neutral,topic4_brand_neutral,topic5_brand_neutral,topic6_brand_neutral,topic7_brand_neutral,topic8_brand_neutral,topic-1_brand_positive,topic0_brand_positive,topic1_brand_positive,topic2_brand_positive,topic3_brand_positive,topic4_brand_positive,topic5_brand_positive,topic6_brand_positive,topic7_brand_positive,topic8_brand_positive
0,Tokopedia,0.082433835,-0.035163376,-0.03853967,0.06737569,-0.07155329,0.06544723,-0.10750605,0.18223213,Tokopedia,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.910760872066021,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9381807287854533,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289,0.9231703234346289
1,Bukalapak,0.061115168,-0.005001966,-0.04035537,0.04721146,-0.060564473,0.049742356,-0.082803555,0.12551095,Bukalapak,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.971652626991272,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9616126702382014,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773,0.9307974123954773
2,Blibli,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165,Blibli,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.8766685277223587,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9545704184380253,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659,0.9109241027723659
3,JD.ID,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165,JD.ID,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.7764740288257599,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.9675223628679911,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604,0.8937261295318604
4,Sociolla,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165,Sociolla,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.9727684855461121,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.927174586057663,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765,0.9223930765600765
5,Ralali,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165,Ralali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9727645516395569,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798,0.9878553748130798
6,Orami,0.05776287,0.004121881,-0.042039067,0.04688473,-0.056023173,0.046750985,-0.079254396,0.113269165,Orami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9330574162304401,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386,0.9170440667205386
7,Indomie,0.074457444,-0.010839894,-0.039059073,0.05087338,-0.07083601,0.05896905,-0.09893202,0.15829158,Indomie,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9474743485450745,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.9386380743562129,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327,0.92684882608327
8,Mie Sedaap,0.03456102,-0.0004752446,-0.0009045191,0.026478514,-0.03833276,0.022013627,-0.054361608,0.11280094,Mie Sedaap,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.9478877782821655,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.8904489416342515,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083,0.9492755078134083
9,Pop Mie,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086,Pop Mie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.9354634284973145,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367,0.8373299092054367
10,Frestea,0.03399226,0.00020760298,-0.0005641221,0.02669937,-0.03797815,0.021126948,-0.054011043,0.113079086,Frestea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.8977683633565903,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348,0.9877532124519348
11,Aqua,0.074457444,-0.010839894,-0.039059073,0.05087338,-0.07083601,0.05896905,-0.09893202,0.15829158,Aqua,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.8888450213100599,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.9124372601509094,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755,0.965061713869755
