influencer,influencer_topic_num,influencer_topic_name,influencer_positive,influencer_neutral,influencer_negative
Ayu Tingting,-1,"brand, indonesia, the",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,0,"brand, indonesia, the",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,1,"hammerifw, fashion, hammer",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,2,"koot, nana, vindy",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,3,"bank, mandiri, wacoal",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,4,"tamara, que, angel",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,5,"ariel, noah, luna",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,6,"tasya, kamila, alexa",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,7,"arnold, chef, america",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,8,"fypviraltwitter, fypシviral, shopeehaul",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,9,"wahyu, nayaka, julukan",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,10,"sdt, sdm, hermawan",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,11,"combipharid, liliyana, natsir",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,12,"sandy, mangkualam, rauf",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,13,"yumi, kwandy, kinsky",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,14,"sandy, mangkualam, ivar",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,15,"dinda, hauw, mbayang",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,16,"halilintar, atta, diperankan",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,17,"epic, traveloka, promo",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,18,"evercoss, smartphone, kuasai",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,19,"sınıfta, el, dersi",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,20,"indra, bekti, felicya",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,21,"tingting, ayu, depok",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,22,"evercoss, cross, terusmenerus",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,23,"aqua, palestina, pet",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,24,"wardah, kosmetik, halal",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,25,"lion, air, plane",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,26,"garuda, pokemon, timnas",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,27,"erigo, 3second, legend",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,28,"atta, halilintar, saleha",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,29,"lelah, sarangbeo_o, sukaestehpanas",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,30,"tingting, ayu, depok",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,31,"febian, rizky, allobank",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,32,"donna, harun, pardede",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,33,"hidupmu, hutan, memimpin",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,34,"prilly, latuconsina, omara",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,35,"hammer, hammer_brand, sarinah",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,36,"aprilia, manganang, lakilaki",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,37,"diye, dersi, gibi",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,38,"jouska, bir, women",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,39,"gitasav, alya, nurshabrina",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,40,"greenlight, herr, 3secondjourney",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,41,"hammer, cp082187283143, tlpsmswa",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,42,"diskartes, andhika, domani",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,43,"executive, gounder, hood",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,44,"bn, rinso, rosin",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,45,"hammer, menteri, mallofindonesia",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,46,"popmart, jastip, seratus",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,47,"mie, sedaap, siwon",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,48,"bau, gua, fellexandro",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,49,"anthony, ginting, sinisuka",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,50,"anindya, kusuma, putri",0.8960363703009523,0.9013364298321377,0.8871586476602862
Ayu Tingting,51,"کا, amalee, irfan",0.8960363703009523,0.9013364298321377,0.8871586476602862
